,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
2996,owensan01,http://www.basketball-reference.com/players/o/owensan01.html,Andre Owens,2006,2008,G,6-4,200,"October 31, 1980",University of Houston
3002,owensla01,http://www.basketball-reference.com/players/o/owensla01.html,Larry Owens,2011,2012,F,6-7,210,"January 8, 1983",Oral Roberts University
3008,pachuza01,http://www.basketball-reference.com/players/p/pachuza01.html,Zaza Pachulia,2004,2017,C,6-11,270,"February 10, 1984",
3012,padgesc01,http://www.basketball-reference.com/players/p/padgesc01.html,Scott Padgett,2000,2007,F,6-9,240,"April 19, 1976",University of Kentucky
3015,palacmi01,http://www.basketball-reference.com/players/p/palacmi01.html,Milt Palacio,2000,2006,G,6-3,195,"February 7, 1978",Colorado State University
3023,papanko01,http://www.basketball-reference.com/players/p/papanko01.html,Kostas Papanikolaou,2015,2016,F,6-8,225,"July 31, 1990",
3024,pargoja01,http://www.basketball-reference.com/players/p/pargoja01.html,Jannero Pargo,2003,2015,G,6-1,175,"October 22, 1979",University of Arkansas
3025,pargoje01,http://www.basketball-reference.com/players/p/pargoje01.html,Jeremy Pargo,2012,2013,G,6-2,219,"March 17, 1986",Gonzaga University
3029,parkean01,http://www.basketball-reference.com/players/p/parkean01.html,Anthony Parker,1998,2012,G,6-6,215,"June 19, 1975",Bradley University
3030,parkeja01,http://www.basketball-reference.com/players/p/parkeja01.html,Jabari Parker,2015,2017,F,6-8,250,"March 15, 1995",Duke University
3031,parkesm01,http://www.basketball-reference.com/players/p/parkesm01.html,Smush Parker,2003,2008,G,6-4,190,"June 1, 1981",Fordham University
3033,parketo01,http://www.basketball-reference.com/players/p/parketo01.html,Tony Parker,2002,2017,G,6-2,185,"May 17, 1982",
3042,parsoch01,http://www.basketball-reference.com/players/p/parsoch01.html,Chandler Parsons,2012,2017,F,6-10,230,"October 25, 1988",University of Florida
3051,pattepa01,http://www.basketball-reference.com/players/p/pattepa01.html,Patrick Patterson,2011,2017,F,6-9,230,"March 14, 1989",University of Kentucky
3052,patteru01,http://www.basketball-reference.com/players/p/patteru01.html,Ruben Patterson,1999,2008,F,6-5,224,"July 31, 1975",University of Cincinnati
3056,paulch01,http://www.basketball-reference.com/players/p/paulch01.html,Chris Paul,2006,2017,G,6-0,175,"May 6, 1985",Wake Forest University
3060,pavloal01,http://www.basketball-reference.com/players/p/pavloal01.html,Sasha Pavlovic,2004,2013,G-F,6-8,220,"November 15, 1983",
3065,paynead01,http://www.basketball-reference.com/players/p/paynead01.html,Adreian Payne,2015,2017,F-C,6-10,237,"February 19, 1991",Michigan State University
3069,paytoel01,http://www.basketball-reference.com/players/p/paytoel01.html,Elfrid Payton,2015,2017,G,6-4,185,"February 22, 1994",University of Louisiana at Lafayette
3070,paytoga01,http://www.basketball-reference.com/players/p/paytoga01.html,Gary Payton,1991,2007,G,6-4,180,"July 23, 1968",Oregon State University
3074,pecheol01,http://www.basketball-reference.com/players/p/pecheol01.html,Oleksiy Pecherov,2008,2010,C,7-0,232,"December 8, 1985",
3079,pekovni01,http://www.basketball-reference.com/players/p/pekovni01.html,Nikola Pekovic,2011,2016,C,6-11,307,"January 3, 1986",
3088,perkike01,http://www.basketball-reference.com/players/p/perkike01.html,Kendrick Perkins,2004,2016,C,6-10,270,"November 10, 1984",
3091,perovko01,http://www.basketball-reference.com/players/p/perovko01.html,Kosta Perovic,2008,2008,C,7-2,240,"February 19, 1985",
3104,petermo01,http://www.basketball-reference.com/players/p/petermo01.html,Morris Peterson,2001,2011,F,6-7,218,"August 26, 1977",Michigan State University
3106,petrojo01,http://www.basketball-reference.com/players/p/petrojo01.html,Johan Petro,2006,2013,C,7-0,247,"January 27, 1986",
3121,piatker01,http://www.basketball-reference.com/players/p/piatker01.html,Eric Piatkowski,1995,2008,G-F,6-7,215,"September 30, 1970",University of Nebraska
3123,piercpa01,http://www.basketball-reference.com/players/p/piercpa01.html,Paul Pierce,1999,2017,F-G,6-7,235,"October 13, 1977",University of Kansas
3126,pietrmi01,http://www.basketball-reference.com/players/p/pietrmi01.html,Mickael Pietrus,2004,2013,G-F,6-6,215,"February 7, 1982",
3129,pinknke01,http://www.basketball-reference.com/players/p/pinknke01.html,Kevinn Pinkney,2007,2007,F,6-10,245,"October 20, 1983","University of Nevada, Reno"
3135,pittmde01,http://www.basketball-reference.com/players/p/pittmde01.html,Dexter Pittman,2011,2014,C,6-11,308,"March 2, 1988",University of Texas at Austin
3136,planizo01,http://www.basketball-reference.com/players/p/planizo01.html,Zoran Planinic,2004,2006,G,6-7,195,"September 12, 1982",
3139,plumlma01,http://www.basketball-reference.com/players/p/plumlma01.html,Mason Plumlee,2014,2017,C-F,6-11,245,"March 5, 1990",Duke University
3140,plumlmi01,http://www.basketball-reference.com/players/p/plumlmi01.html,Miles Plumlee,2013,2017,C-F,6-11,249,"September 1, 1988",Duke University
3142,podkopa01,http://www.basketball-reference.com/players/p/podkopa01.html,Pavel Podkolzin,2005,2006,C,7-5,260,"January 15, 1985",
3146,pollasc01,http://www.basketball-reference.com/players/p/pollasc01.html,Scot Pollard,1998,2008,C,6-11,265,"February 12, 1975",University of Kansas
3150,pondequ01,http://www.basketball-reference.com/players/p/pondequ01.html,Quincy Pondexter,2011,2015,G-F,6-7,220,"March 10, 1988",University of Washington
3158,porteot01,http://www.basketball-reference.com/players/p/porteot01.html,Otto Porter,2014,2017,F,6-8,198,"June 3, 1993",Georgetown University
3164,poseyja01,http://www.basketball-reference.com/players/p/poseyja01.html,James Posey,2000,2011,F-G,6-8,215,"January 13, 1977",Xavier University
3167,potapvi01,http://www.basketball-reference.com/players/p/potapvi01.html,Vitaly Potapenko,1997,2007,C,6-10,280,"March 21, 1975",Wright State University
3168,powele01,http://www.basketball-reference.com/players/p/powele01.html,Leon Powe,2007,2011,F,6-8,240,"January 22, 1984",University of California
3170,poweldw01,http://www.basketball-reference.com/players/p/poweldw01.html,Dwight Powell,2015,2017,F-C,6-11,240,"July 20, 1991",Stanford University
3171,poweljo01,http://www.basketball-reference.com/players/p/poweljo01.html,Josh Powell,2006,2014,F,6-9,225,"January 25, 1983",North Carolina State University
3172,powelka01,http://www.basketball-reference.com/players/p/powelka01.html,Kasib Powell,2008,2008,F,6-7,215,"March 18, 1981",Texas Tech University
3174,powelro01,http://www.basketball-reference.com/players/p/powelro01.html,Roger Powell,2007,2007,F,6-6,235,"January 15, 1983",University of Illinois at Urbana-Champaign
3178,pressph01,http://www.basketball-reference.com/players/p/pressph01.html,Phil Pressey,2014,2016,G,5-11,175,"February 17, 1991",University of Missouri
3182,priceaj01,http://www.basketball-reference.com/players/p/priceaj01.html,A.J. Price,2010,2015,G,6-2,181,"October 7, 1986",University of Connecticut
3187,pricero01,http://www.basketball-reference.com/players/p/pricero01.html,Ronnie Price,2006,2017,G,6-2,190,"June 21, 1983",Utah Valley State College
3190,prigipa01,http://www.basketball-reference.com/players/p/prigipa01.html,Pablo Prigioni,2013,2016,G,6-3,185,"May 17, 1977",
3191,princta01,http://www.basketball-reference.com/players/p/princta01.html,Tayshaun Prince,2003,2016,F,6-9,212,"February 28, 1980",University of Kentucky
3194,profila01,http://www.basketball-reference.com/players/p/profila01.html,Laron Profit,2000,2006,G-F,6-5,204,"August 5, 1977",University of Maryland
3195,pruitga01,http://www.basketball-reference.com/players/p/pruitga01.html,Gabe Pruitt,2008,2009,G,6-4,170,"April 19, 1986",University of Southern California
3196,przybjo01,http://www.basketball-reference.com/players/p/przybjo01.html,Joel Przybilla,2001,2013,C,7-1,255,"October 10, 1979",University of Minnesota
3203,quinnch01,http://www.basketball-reference.com/players/q/quinnch01.html,Chris Quinn,2007,2013,G,6-2,185,"September 27, 1983",University of Notre Dame
3210,radmavl01,http://www.basketball-reference.com/players/r/radmavl01.html,Vladimir Radmanovic,2002,2013,F,6-10,227,"November 19, 1980",
3214,radulmi01,http://www.basketball-reference.com/players/r/radulmi01.html,Miroslav Raduljica,2014,2015,C,7-0,250,"January 5, 1988",
3227,randlju01,http://www.basketball-reference.com/players/r/randlju01.html,Julius Randle,2015,2017,F,6-9,250,"November 29, 1994",University of Kentucky
3228,randoan01,http://www.basketball-reference.com/players/r/randoan01.html,Anthony Randolph,2009,2014,F,6-10,205,"July 15, 1989",Louisiana State University
3229,randosh01,http://www.basketball-reference.com/players/r/randosh01.html,Shavlik Randolph,2006,2015,F,6-10,240,"November 24, 1983",Duke University
3230,randoza01,http://www.basketball-reference.com/players/r/randoza01.html,Zach Randolph,2002,2017,F,6-9,260,"July 16, 1981",Michigan State University
3239,ratlith01,http://www.basketball-reference.com/players/r/ratlith01.html,Theo Ratliff,1996,2011,C-F,6-10,225,"April 17, 1973",University of Wyoming
3240,rautian01,http://www.basketball-reference.com/players/r/rautian01.html,Andy Rautins,2011,2011,G,6-4,190,"November 2, 1986",Syracuse University
3242,rayal01,http://www.basketball-reference.com/players/r/rayal01.html,Allan Ray,2007,2007,G,6-2,190,"June 17, 1984",Villanova University
3251,rebraze01,http://www.basketball-reference.com/players/r/rebraze01.html,Zeljko Rebraca,2002,2006,C,7-0,257,"April 9, 1972",
3253,reddmi01,http://www.basketball-reference.com/players/r/reddmi01.html,Michael Redd,2001,2012,G,6-6,220,"August 24, 1979",Ohio State University
3255,redicjj01,http://www.basketball-reference.com/players/r/redicjj01.html,J.J. Redick,2007,2017,G,6-4,190,"June 24, 1984",Duke University
3258,reedju01,http://www.basketball-reference.com/players/r/reedju01.html,Justin Reed,2005,2007,F,6-8,240,"January 16, 1982",University of Mississippi
3271,reidry01,http://www.basketball-reference.com/players/r/reidry01.html,Ryan Reid,2012,2012,F,6-8,232,"October 30, 1986",Florida State University
3272,reineja01,http://www.basketball-reference.com/players/r/reineja01.html,Jared Reiner,2005,2007,C,6-11,255,"April 8, 1982",University of Iowa
3287,ricegl02,http://www.basketball-reference.com/players/r/ricegl02.html,Glen Rice,2014,2015,G,6-6,206,"January 1, 1991",Georgia Institute of Technology
3288,richach01,http://www.basketball-reference.com/players/r/richach01.html,Chris Richard,2008,2010,F,6-9,270,"December 25, 1984",University of Florida
3290,richaja01,http://www.basketball-reference.com/players/r/richaja01.html,Jason Richardson,2002,2015,G,6-6,220,"January 20, 1981",Michigan State University
3291,richaje01,http://www.basketball-reference.com/players/r/richaje01.html,Jeremy Richardson,2007,2009,G-F,6-6,185,"February 11, 1984",Delta State University
3297,richaqu01,http://www.basketball-reference.com/players/r/richaqu01.html,Quentin Richardson,2001,2013,G,6-6,223,"April 13, 1980",DePaul University
3303,ridnolu01,http://www.basketball-reference.com/players/r/ridnolu01.html,Luke Ridnour,2004,2015,G,6-2,175,"February 13, 1981",University of Oregon
3318,riverau01,http://www.basketball-reference.com/players/r/riverau01.html,Austin Rivers,2013,2017,G,6-4,200,"August 1, 1992",Duke University
3323,roberan03,http://www.basketball-reference.com/players/r/roberan03.html,Andre Roberson,2014,2017,G-F,6-7,210,"December 4, 1991",University of Colorado
3324,roberan02,http://www.basketball-reference.com/players/r/roberan02.html,Anthony Roberson,2006,2009,G,6-2,180,"February 14, 1983",University of Florida
3329,roberbr01,http://www.basketball-reference.com/players/r/roberbr01.html,Brian Roberts,2013,2017,G,6-1,173,"December 3, 1985",University of Dayton
3332,roberla01,http://www.basketball-reference.com/players/r/roberla01.html,Lawrence Roberts,2006,2007,F,6-9,240,"October 20, 1982",Mississippi State University
3340,robinbe01,http://www.basketball-reference.com/players/r/robinbe01.html,Bernard Robinson,2005,2007,G-F,6-6,210,"December 26, 1980",University of Michigan
3343,robincl02,http://www.basketball-reference.com/players/r/robincl02.html,Clifford Robinson,1990,2007,F-C,6-10,225,"December 16, 1966",University of Connecticut
3348,robingl02,http://www.basketball-reference.com/players/r/robingl02.html,Glenn Robinson,2015,2017,G-F,6-6,222,"January 8, 1994",University of Michigan
3353,robinna01,http://www.basketball-reference.com/players/r/robinna01.html,Nate Robinson,2006,2016,G,5-9,180,"May 31, 1984",University of Washington
3358,robinth01,http://www.basketball-reference.com/players/r/robinth01.html,Thomas Robinson,2013,2017,F,6-10,237,"March 17, 1991",University of Kansas
3370,rodrise01,http://www.basketball-reference.com/players/r/rodrise01.html,Sergio Rodriguez,2007,2017,G,6-3,176,"June 12, 1986",
3385,rondora01,http://www.basketball-reference.com/players/r/rondora01.html,Rajon Rondo,2007,2017,G,6-1,186,"February 22, 1986",University of Kentucky
3388,rosede01,http://www.basketball-reference.com/players/r/rosede01.html,Derrick Rose,2009,2017,G,6-3,190,"October 4, 1988",University of Memphis
3389,roseja01,http://www.basketball-reference.com/players/r/roseja01.html,Jalen Rose,1995,2007,G-F,6-8,210,"January 30, 1973",University of Michigan
3390,rosema01,http://www.basketball-reference.com/players/r/rosema01.html,Malik Rose,1997,2009,F,6-7,250,"November 23, 1974",Drexel University
3396,rossqu01,http://www.basketball-reference.com/players/r/rossqu01.html,Quinton Ross,2005,2011,G,6-6,195,"April 30, 1981",Southern Methodist University
3397,rosste01,http://www.basketball-reference.com/players/r/rosste01.html,Terrence Ross,2013,2017,F-G,6-7,206,"February 5, 1991",University of Washington
3409,roybr01,http://www.basketball-reference.com/players/r/roybr01.html,Brandon Roy,2007,2013,G,6-6,215,"July 23, 1984",University of Washington
3415,rubiori01,http://www.basketball-reference.com/players/r/rubiori01.html,Ricky Rubio,2012,2017,G,6-4,194,"October 21, 1990",
3419,rudezda01,http://www.basketball-reference.com/players/r/rudezda01.html,Damjan Rudez,2015,2017,F,6-10,228,"June 17, 1986",
3421,ruffimi01,http://www.basketball-reference.com/players/r/ruffimi01.html,Michael Ruffin,2000,2009,F,6-9,246,"January 21, 1977",University of Tulsa
3429,rushbr01,http://www.basketball-reference.com/players/r/rushbr01.html,Brandon Rush,2009,2017,G-F,6-6,220,"July 7, 1985",University of Kansas
3430,rushka01,http://www.basketball-reference.com/players/r/rushka01.html,Kareem Rush,2003,2010,G,6-6,215,"October 30, 1980",University of Missouri
3432,russebr01,http://www.basketball-reference.com/players/r/russebr01.html,Bryon Russell,1994,2006,F,6-7,225,"December 31, 1970","California State University, Long Beach"
3440,russewa02,http://www.basketball-reference.com/players/r/russewa02.html,Walker Russell,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
3443,sacrero01,http://www.basketball-reference.com/players/s/sacrero01.html,Robert Sacre,2013,2016,C,7-0,270,"June 6, 1989",Gonzaga University
3447,salmojo01,http://www.basketball-reference.com/players/s/salmojo01.html,John Salmons,2003,2015,G,6-7,210,"December 12, 1979",University of Miami
3451,sambch01,http://www.basketball-reference.com/players/s/sambch01.html,Cheikh Samb,2008,2009,C,7-1,245,"October 22, 1984",
3452,sampsja02,http://www.basketball-reference.com/players/s/sampsja02.html,JaKarr Sampson,2015,2016,G-F,6-9,214,"March 20, 1993",St. John's University
3453,sampsja01,http://www.basketball-reference.com/players/s/sampsja01.html,Jamal Sampson,2003,2007,F-C,6-11,235,"May 15, 1983",University of California
3455,samuesa01,http://www.basketball-reference.com/players/s/samuesa01.html,Samardo Samuels,2011,2013,F,6-9,260,"January 9, 1989",University of Louisville
3460,sandela01,http://www.basketball-reference.com/players/s/sandela01.html,Larry Sanders,2011,2015,C-F,6-11,235,"November 21, 1988",Virginia Commonwealth University
3461,sandeme01,http://www.basketball-reference.com/players/s/sandeme01.html,Melvin Sanders,2006,2006,G-F,6-5,210,"January 3, 1981",Oklahoma State University
3480,scalabr01,http://www.basketball-reference.com/players/s/scalabr01.html,Brian Scalabrine,2002,2012,F,6-9,241,"March 18, 1978",University of Southern California
3481,scaleal01,http://www.basketball-reference.com/players/s/scaleal01.html,Alex Scales,2006,2006,G,6-4,185,"July 3, 1978",University of Oregon
3497,schenlu01,http://www.basketball-reference.com/players/s/schenlu01.html,Luke Schenscher,2006,2007,C,7-1,255,"December 31, 1982",Georgia Institute of Technology
3507,schrode01,http://www.basketball-reference.com/players/s/schrode01.html,Dennis Schroder,2014,2017,G,6-1,172,"September 15, 1993",
3512,scolalu01,http://www.basketball-reference.com/players/s/scolalu01.html,Luis Scola,2008,2017,F,6-9,240,"April 30, 1980",
3520,scottmi01,http://www.basketball-reference.com/players/s/scottmi01.html,Mike Scott,2013,2017,F,6-8,237,"July 16, 1988",University of Virginia
3532,sefolth01,http://www.basketball-reference.com/players/s/sefolth01.html,Thabo Sefolosha,2007,2017,G-F,6-7,220,"May 2, 1984",
3535,selbyjo01,http://www.basketball-reference.com/players/s/selbyjo01.html,Josh Selby,2012,2013,G,6-2,183,"March 27, 1991",University of Kansas
3542,senesa01,http://www.basketball-reference.com/players/s/senesa01.html,Mouhamed Sene,2007,2009,C-F,6-11,230,"May 12, 1986",
3544,serapke01,http://www.basketball-reference.com/players/s/serapke01.html,Kevin Seraphin,2011,2017,F,6-9,285,"December 7, 1989",
3546,sessira01,http://www.basketball-reference.com/players/s/sessira01.html,Ramon Sessions,2008,2017,G,6-3,190,"April 11, 1986","University of Nevada, Reno"
3547,seungha01,http://www.basketball-reference.com/players/s/seungha01.html,Ha Seung-Jin,2005,2006,C,7-3,305,"August 4, 1985",
3555,shakumu01,http://www.basketball-reference.com/players/s/shakumu01.html,Mustafa Shakur,2011,2014,G,6-3,190,"August 18, 1984",University of Arizona
3561,sharpwa01,http://www.basketball-reference.com/players/s/sharpwa01.html,Walter Sharpe,2009,2009,F,6-9,245,"July 18, 1986",University of Alabama at Birmingham
3570,shengto01,http://www.basketball-reference.com/players/s/shengto01.html,Tornike Shengelia,2013,2014,F,6-9,217,"October 5, 1991",
3583,shumpim01,http://www.basketball-reference.com/players/s/shumpim01.html,Iman Shumpert,2012,2017,G,6-5,220,"June 26, 1990",Georgia Institute of Technology
3584,shvedal01,http://www.basketball-reference.com/players/s/shvedal01.html,Alexey Shved,2013,2015,G,6-6,190,"December 16, 1988",
3595,silasxa01,http://www.basketball-reference.com/players/s/silasxa01.html,Xavier Silas,2012,2012,G,6-5,205,"January 22, 1988",Northern Illinois University
3596,silerga01,http://www.basketball-reference.com/players/s/silerga01.html,Garret Siler,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University
3598,simiewa01,http://www.basketball-reference.com/players/s/simiewa01.html,Wayne Simien,2006,2007,F,6-9,255,"March 9, 1983",University of Kansas
3599,simmobo01,http://www.basketball-reference.com/players/s/simmobo01.html,Bobby Simmons,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul University
3600,simmoce01,http://www.basketball-reference.com/players/s/simmoce01.html,Cedric Simmons,2007,2009,F,6-9,235,"January 3, 1986",North Carolina State University
3612,simsco01,http://www.basketball-reference.com/players/s/simsco01.html,Courtney Sims,2008,2009,C,6-10,245,"October 21, 1983",University of Michigan
3614,simshe01,http://www.basketball-reference.com/players/s/simshe01.html,Henry Sims,2013,2016,C,6-10,248,"March 27, 1990",Georgetown University
3616,singlky01,http://www.basketball-reference.com/players/s/singlky01.html,Kyle Singler,2013,2017,F,6-8,228,"May 4, 1988",Duke University
3617,singlse01,http://www.basketball-reference.com/players/s/singlse01.html,Sean Singletary,2009,2009,G,6-0,185,"September 6, 1985",University of Virginia
3618,singlch01,http://www.basketball-reference.com/players/s/singlch01.html,Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",Florida State University
3619,singlja01,http://www.basketball-reference.com/players/s/singlja01.html,James Singleton,2006,2012,F,6-8,216,"July 20, 1981",Murray State University
3623,sivape01,http://www.basketball-reference.com/players/s/sivape01.html,Peyton Siva,2014,2014,G,6-0,185,"October 24, 1990",University of Louisville
3626,skinnbr01,http://www.basketball-reference.com/players/s/skinnbr01.html,Brian Skinner,1999,2012,F,6-9,255,"May 19, 1976",Baylor University
3634,sloando01,http://www.basketball-reference.com/players/s/sloando01.html,Donald Sloan,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M University
3636,slokaur01,http://www.basketball-reference.com/players/s/slokaur01.html,Uros Slokar,2007,2007,F,6-10,238,"May 14, 1983",
3639,smartma01,http://www.basketball-reference.com/players/s/smartma01.html,Marcus Smart,2015,2017,G,6-4,220,"March 6, 1994",Oklahoma State University
3649,smithch04,http://www.basketball-reference.com/players/s/smithch04.html,Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",University of New Mexico
3651,smithch05,http://www.basketball-reference.com/players/s/smithch05.html,Chris Smith,2014,2014,G,6-2,200,"October 13, 1987",University of Louisville
3653,smithcr01,http://www.basketball-reference.com/players/s/smithcr01.html,Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",Boston College
3658,smithdo04,http://www.basketball-reference.com/players/s/smithdo04.html,Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College
3664,smithgr02,http://www.basketball-reference.com/players/s/smithgr02.html,Greg Smith,2012,2016,C,6-10,250,"January 8, 1991","California State University, Fresno"
3665,smithis01,http://www.basketball-reference.com/players/s/smithis01.html,Ish Smith,2011,2017,G,6-0,175,"July 5, 1988",Wake Forest University
3666,smithjr01,http://www.basketball-reference.com/players/s/smithjr01.html,J.R. Smith,2005,2017,G-F,6-6,225,"September 9, 1985",
3668,smithja02,http://www.basketball-reference.com/players/s/smithja02.html,Jason Smith,2008,2017,F-C,7-0,245,"March 2, 1986",Colorado State University
3669,smithje01,http://www.basketball-reference.com/players/s/smithje01.html,Jerry Smith,2012,2012,G,6-2,190,"September 26, 1987",University of Louisville
3671,smithjo02,http://www.basketball-reference.com/players/s/smithjo02.html,Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",University of Maryland
3673,smithjo03,http://www.basketball-reference.com/players/s/smithjo03.html,Josh Smith,2005,2016,F,6-9,225,"December 5, 1985",
3683,smithno01,http://www.basketball-reference.com/players/s/smithno01.html,Nolan Smith,2012,2013,G,6-2,185,"July 25, 1988",Duke University
3690,smithru01,http://www.basketball-reference.com/players/s/smithru01.html,Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",University of Louisville
3694,smithst03,http://www.basketball-reference.com/players/s/smithst03.html,Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle University
3703,snellto01,http://www.basketball-reference.com/players/s/snellto01.html,Tony Snell,2014,2017,G-F,6-7,200,"November 10, 1991",University of New Mexico
3704,snower01,http://www.basketball-reference.com/players/s/snower01.html,Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State University
3706,snydeki01,http://www.basketball-reference.com/players/s/snydeki01.html,Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983","University of Nevada, Reno"
3712,solomwi01,http://www.basketball-reference.com/players/s/solomwi01.html,Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",Clemson University
3714,songada01,http://www.basketball-reference.com/players/s/songada01.html,Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest University
3716,southja01,http://www.basketball-reference.com/players/s/southja01.html,James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse University
3718,sowpa01,http://www.basketball-reference.com/players/s/sowpa01.html,Pape Sow,2005,2007,F,6-10,250,"November 22, 1981","California State University, Fullerton"
3721,spanova01,http://www.basketball-reference.com/players/s/spanova01.html,Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",
3727,speigma01,http://www.basketball-reference.com/players/s/speigma01.html,Marreese Speights,2009,2017,C-F,6-10,255,"August 4, 1987",University of Florida
3733,splitti01,http://www.basketball-reference.com/players/s/splitti01.html,Tiago Splitter,2011,2016,F-C,6-11,245,"January 1, 1985",
3741,stackje01,http://www.basketball-reference.com/players/s/stackje01.html,Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",University of North Carolina
3750,stausni01,http://www.basketball-reference.com/players/s/stausni01.html,Nik Stauskas,2015,2017,G,6-6,205,"October 7, 1993",University of Michigan
3755,stephdj01,http://www.basketball-reference.com/players/s/stephdj01.html,D.J. Stephens,2014,2014,G-F,6-5,188,"December 19, 1990",University of Memphis
3759,stephla01,http://www.basketball-reference.com/players/s/stephla01.html,Lance Stephenson,2011,2017,G-F,6-5,230,"September 5, 1990",University of Cincinnati
3764,stevede01,http://www.basketball-reference.com/players/s/stevede01.html,DeShawn Stevenson,2001,2013,G,6-5,210,"April 3, 1981",
3770,stiemgr01,http://www.basketball-reference.com/players/s/stiemgr01.html,Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",University of Wisconsin
3776,stockda01,http://www.basketball-reference.com/players/s/stockda01.html,David Stockton,2015,2015,G,5-11,165,"June 24, 1991",Gonzaga University
3778,stojape01,http://www.basketball-reference.com/players/s/stojape01.html,Peja Stojakovic,1999,2011,F-G,6-9,220,"June 9, 1977",
3781,stokeja01,http://www.basketball-reference.com/players/s/stokeja01.html,Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",University of Tennessee
3787,stoneju01,http://www.basketball-reference.com/players/s/stoneju01.html,Julyan Stone,2012,2014,G,6-6,200,"December 7, 1988",University of Texas at El Paso
3788,storeaw01,http://www.basketball-reference.com/players/s/storeaw01.html,Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977",Arizona State University
3789,stoudda01,http://www.basketball-reference.com/players/s/stoudda01.html,Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",University of Arizona
3790,stoudsa01,http://www.basketball-reference.com/players/s/stoudsa01.html,Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",University of Arizona
3791,stoudam01,http://www.basketball-reference.com/players/s/stoudam01.html,Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",
3793,strawdj01,http://www.basketball-reference.com/players/s/strawdj01.html,D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",University of Maryland
3805,stuckro01,http://www.basketball-reference.com/players/s/stuckro01.html,Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington University
3809,sullija01,http://www.basketball-reference.com/players/s/sullija01.html,Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State University
3810,summeda01,http://www.basketball-reference.com/players/s/summeda01.html,DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown University
3824,sweetmi01,http://www.basketball-reference.com/players/s/sweetmi01.html,Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown University
3825,swiftro01,http://www.basketball-reference.com/players/s/swiftro01.html,Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",
3827,swiftst01,http://www.basketball-reference.com/players/s/swiftst01.html,Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",Louisiana State University
3829,sypa01,http://www.basketball-reference.com/players/s/sypa01.html,Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",
3833,szczewa02,http://www.basketball-reference.com/players/s/szczewa02.html,Wally Szczerbiak,2000,2009,F,6-7,244,"March 5, 1977",Miami University
3837,taftch01,http://www.basketball-reference.com/players/t/taftch01.html,Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",University of Pittsburgh
3846,taylodo01,http://www.basketball-reference.com/players/t/taylodo01.html,Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982",University of Alabama at Birmingham
3851,tayloje03,http://www.basketball-reference.com/players/t/tayloje03.html,Jeffery Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt University
3852,tayloje02,http://www.basketball-reference.com/players/t/tayloje02.html,Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",University of Central Florida
3855,tayloma01,http://www.basketball-reference.com/players/t/tayloma01.html,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan
3856,taylomi01,http://www.basketball-reference.com/players/t/taylomi01.html,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University
3859,tayloty01,http://www.basketball-reference.com/players/t/tayloty01.html,Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",University of Kansas
